"","state","location","any_both_sexes_2010","any_females_2010","any_males_2010"
"1","Alabama","Baldwin County",54.6,47.3,62.1
"2","Alabama","Shelby County",51.2,44.7,57.9
"3","Alabama","Lee County",49.8,43.9,55.8
"4","Alabama","Jefferson County",49.6,43.1,56.2
"5","Alabama","Montgomery County",49.5,42.7,56.6
"6","Alabama","Madison County",48.1,43.4,53
"7","Alabama","Mobile County",47.5,40.6,54.6
"8","Alabama","Tuscaloosa County",45.2,38.8,51.8
"9","Alabama","Elmore County",44.1,37.5,51
"10","Alabama","Houston County",43.2,35.1,51.5
"11","Alabama","Alabama",42.5,35.3,50.1
"12","Alabama","Autauga County",42.5,34.4,50.9
"13","Alabama","Macon County",42.2,34,50.7
"14","Alabama","Dale County",40.9,32.3,49.8
"15","Alabama","Coffee County",40.5,32.8,48.5
"16","Alabama","Pike County",39.6,31.6,48
"17","Alabama","Russell County",39.3,33,45.8
"18","Alabama","Morgan County",38.9,30.4,47.8
"19","Alabama","St. Clair County",38.9,31.4,46.7
"20","Alabama","Barbour County",38.6,30.2,47.4
"21","Alabama","Tallapoosa County",38.2,29.1,47.7
"22","Alabama","Dallas County",38.1,30,46.5
"23","Alabama","Etowah County",37.9,29.5,46.7
"24","Alabama","Marengo County",37.9,27.3,49
"25","Alabama","Sumter County",37.7,27.3,48.6
"26","Alabama","Bullock County",37.6,28,47.7
"27","Alabama","Covington County",37.4,30.9,44.2
"28","Alabama","Calhoun County",37.3,29.7,45.2
"29","Alabama","Chambers County",37.2,30.1,44.6
"30","Alabama","Conecuh County",37.2,27.7,47.1
"31","Alabama","Talladega County",37.2,27.4,47.4
"32","Alabama","Escambia County",37,30.2,44.1
"33","Alabama","Henry County",36.9,27.3,46.9
"34","Alabama","Lowndes County",36.9,25.6,48.6
"35","Alabama","Marshall County",36.8,27.2,46.8
"36","Alabama","Limestone County",36.4,29.3,43.8
"37","Alabama","Hale County",36.1,24.4,48.2
"38","Alabama","Lauderdale County",35.8,29.4,42.5
"39","Alabama","Greene County",35.3,24.1,46.9
"40","Alabama","Butler County",35.2,26.4,44.4
"41","Alabama","Colbert County",34.7,27.9,41.7
"42","Alabama","Perry County",34.7,23.5,46.2
"43","Alabama","Randolph County",34.7,25.6,44
"44","Alabama","Bibb County",34.4,26.5,42.6
"45","Alabama","Coosa County",34.3,25,43.9
"46","Alabama","Blount County",33.5,24.7,42.6
"47","Alabama","Geneva County",33.5,23.8,43.5
"48","Alabama","Choctaw County",33.3,22.4,44.6
"49","Alabama","Clarke County",33.2,24,42.7
"50","Alabama","Wilcox County",32.9,21.5,44.7
"51","Alabama","Crenshaw County",32.5,23.5,41.8
"52","Alabama","Monroe County",32.5,23,42.4
"53","Alabama","Chilton County",31.8,22.1,41.8
"54","Alabama","Cullman County",31.5,22.3,41
"55","Alabama","Washington County",31.3,22.5,40.4
"56","Alabama","Cleburne County",31,22,40.3
"57","Alabama","Cherokee County",30.7,21.5,40.2
"58","Alabama","Pickens County",30.6,21,40.4
"59","Alabama","Walker County",30.3,22.5,38.5
"60","Alabama","Jackson County",30.1,22.1,38.5
"61","Alabama","Clay County",29.8,21.8,38.1
"62","Alabama","Winston County",29.7,20.2,39.5
"63","Alabama","DeKalb County",29.4,19.8,39.4
"64","Alabama","Franklin County",28.8,18.9,39
"65","Alabama","Lawrence County",28.6,20.6,36.9
"66","Alabama","Fayette County",27.6,18.4,37.1
"67","Alabama","Lamar County",27.4,18.7,36.4
"68","Alabama","Marion County",27,17.8,36.7
